cleaned_positive,polarity_positive,sentiment,Score,GuestCountry,RoomType,GroupType,visit_month,visit_year
one night stay move onto holiday accommod rest week arriv later plan due flight issu owner awar track flight despit late offer food drink bar welcom room clean adequ size nice balconi breakfast outstand staff friendli welcom especi restaur owner,0.10833333333333335,positive,9.0,United Kingdom,Double Room with Balcony,Couple,5,2022
nice place clean room nice,0.5222222222222223,positive,9.0,Israel,Double Room,Couple,6,2022
indic desk help,0.0,positive,10.0,France,Double Room with Balcony,Group,6,2022
good staff friendli help comfort night sleep,0.7,positive,9.0,Cyprus,Double Room with Balcony,Couple,6,2022
everyth,0.0,positive,10.0,United Kingdom,Double Room,Couple,6,2022
excel staff famili driven hotel help pleasant peopl speak perfect english couldnt better way book process onlin dialog put u taxi airport alon reason enough come back room hotel gener clean aircon modern quiet room servic also excel plenti electr outlet room also bed rememb ukadapt use standard euplug doubl bed although noth fanci probabl best hotel bed weve slept ever,0.34545454545454546,positive,9.0,Sweden,Double Room with Balcony,Couple,5,2022
clean fresh perfect room famili close airport kind host made late check simpl,0.3933333333333333,positive,10.0,United Kingdom,Suite with Balcony,Family,6,2022
cypru hospit highest level feel home minut owner welcom big smile locat conveni room big balconi,0.09999999999999999,positive,10.0,Switzerland,Standard Triple Room,Family,6,2022
except friendli servic hotel restar build attent servic superb,1.0,positive,9.0,Lithuania,Suite with Balcony,Family,6,2022
locat clean good valu,0.5333333333333333,positive,9.0,United Kingdom,Double Room with Balcony,Couple,5,2022
friendli staff room clean ideal situat airport,0.6333333333333333,positive,9.0,Cyprus,Double Room with Balcony,Couple,5,2022
great locat late flight everyth clean nice room arriv late got great instruct get terrif late breakfast café downstair manag cater everi need,0.2380952380952381,positive,10.0,Iceland,Two-Bedroom Suite,Family,5,2022
beauti properti super clean room realli spaciou fresh clean breakfast amaz beauti set manag wonder,0.3416666666666667,positive,9.0,United Kingdom,Suite with Balcony,Family,5,2022
great locat bar restaur beach good rate excel standard accommod,0.5,positive,10.0,United Kingdom,Double Room with Balcony,Couple,5,2022
great locat welcom staff clean,0.5833333333333334,positive,10.0,Jordan,Double Room with Balcony,Solo traveler,5,2022
modern hotel good facil although small room comfort howev bathroom good size well appoint breakfast extra good hotel m bu rout run airport minut away ticket cost euro far better option pay euro taxi,0.33125,positive,10.0,Australia,Double Room,Solo traveler,5,2022
clean comfort,0.3666666666666667,positive,10.0,United Kingdom,Double Room,Group,5,2022
close airport,0.0,positive,8.0,Finland,Double Room,Couple,5,2022
light airi clean room far sea,0.2888888888888889,positive,8.0,United Kingdom,Double Room,Solo traveler,5,2022
thank much warm welcom comfort stay hotel manag reachabl time due flight time delay couldnt ask inform reassur servic star servic locat nice hotel due close proxim beach restaur importantli clean awesom,0.2633333333333333,positive,10.0,United Kingdom,Double Room with Balcony,Solo traveler,5,2022
spaciou room minifridg larg bathroom clean comfi bed love littl balconi staff friendli lend adaptor sever time didnt want center locat perfect walk distanc airport close luxuri beach strip delici restaur,0.44166666666666665,positive,9.0,Belgium,Double Room,Solo traveler,5,2022
clean comfort pleasant staff accommod kind definit come highli recommend,0.5666666666666668,positive,8.0,Cyprus,Double Room with Balcony,Group,5,2022
modern clean beauti kept hotel near beach restaur,0.2222222222222222,positive,10.0,United Kingdom,Double Room with Balcony,Couple,5,2022
,0.0,positive,8.0,Lebanon,Double Room with Balcony,Couple,5,2022
book hotel last minut extrem happi servic great staff welcom restaur floor level awesom richard great chef friendli make want extend vacat sure felt like part commun due openn room extrem clean room servic make sure keep way best experi could ask,0.48020833333333335,positive,10.0,Romania,Double Room with Balcony,Couple,5,2022
owner friendli help hotel small like minut airport room nice size clean modern famili room doubl room perfect quick stay taxi driver hard time find drop u it’ amongst sever apart build small side street that’ neg also dinner food good chef friendli we’ll stay travel larnaca futur,0.2675925925925926,positive,9.0,United States of America,Double Room with Balcony,Family,5,2022
cleanli,0.0,positive,10.0,United Kingdom,Double Room with Balcony,Couple,5,2022
absolut everyth great staff super kind profession polit help bed soooooooo comfort didnt want leav room also thank taxi arriv right time,0.5047619047619047,positive,10.0,Czech Republic,Double Room with Balcony,Solo traveler,5,2022
,0.0,positive,9.0,Cyprus,Budget Twin Room,Couple,5,2022
stay perfect one impress stay ever bookingcom reserv locat allow u walk beach restaur famili run hotel incred friendli nice room lobbi restaur love exceedlingli modern comfort ate dinner hotel impress chef richard food fabul cocktail love patio chanc meet chat guest,0.56,positive,10.0,United States of America,Double Room with Balcony,Group,5,2022
friendli staff,0.0,positive,10.0,Slovenia,Double Room,Couple,5,2022
except clean brand new breakfast freshli made delici everyon friendli,0.2515151515151515,positive,8.0,Cyprus,Double Room with Balcony,Couple,5,2022
cleanli quiet,0.0,positive,9.0,Cyprus,Double Room,Solo traveler,5,2022
wonder modern famili run small hotel it’ close airport work u room spotless shower fantast pictur true life famili help thankyou,0.09999999999999999,positive,10.0,United Kingdom,Double Room with Balcony,Couple,4,2022
cozi modern clean hotel close airport staff super friendli attent room spaciou new locat super conveni step beach highli recommend,0.27393939393939387,positive,10.0,Germany,Double Room with Balcony,Couple,5,2022
clean modern,0.2833333333333333,positive,9.0,United Kingdom,Double Room,Couple,5,2022
modern clean hotel great locat quiet love staff,0.37333333333333335,positive,9.0,United Kingdom,Double Room,Couple,4,2022
great accommod wonder staff delici food tranquil heartili recommend,0.8,positive,10.0,Hungary,Double Room,Couple,4,2022
excel locat near airport easi drive larnaca friendli help staff,0.1,positive,10.0,United Kingdom,Double Room with Balcony,Couple,4,2022
friendli staff delici breakfast comfort bed min walk mackenzi beach min km walk downtown nice promenad,0.6,positive,9.0,Hungary,Suite with Balcony,Family,4,2022
everyth clean cozi introduc good everyth felt good,0.5888888888888889,positive,10.0,Germany,Family Suite with Balcony,Group,4,2022
clean great attent staff locat book hotel facilit stop due late flight larnaca travel onto holiday villa pleasant surpris hotel close airport minut taxi € arriv late staff could help show u realli nice room balconi front hotel slept well comfi clean bed terrif breakfast terrac arrang car u get back airport collect hire car nice start holiday highli recommenc,0.27416666666666667,positive,10.0,United Kingdom,Double Room with Balcony,Couple,4,2022
room big enough comfi bed famili four like small balconi outdoor space,-0.08333333333333333,positive,10.0,Czech Republic,Family Suite with Balcony,Family,4,2022
friendli staffclean comfort bed,0.0,positive,8.0,Cyprus,Standard Triple Room,Family,4,2022
book near airport arriv pm didn’t seem worth pay one night star stay rest holiday warm welcom clean comfort good hotel i’v stay £ night,0.4133333333333333,positive,8.0,United Kingdom,Double Room with Balcony,Couple,4,2022
it’ clean nice crew,0.48333333333333334,positive,9.0,Israel,Double Room,Couple,4,2022
help staff arrang taxi u airport hotel hotel basic clean comfort,0.18333333333333335,positive,8.0,United Kingdom,Family Suite with Balcony,Family,3,2022
la veranda recent refurbish room bathroom modern comfort balconi sea view easi walk mackenzi beach short journey airport good breakfast avail requir staff extrem help friendli noth much troubl,0.21999999999999997,positive,10.0,United Kingdom,Double Room with Balcony,Couple,4,2022
clean super friendli conveni,0.35,positive,10.0,United Kingdom,Standard Triple Room,Family,4,2022
easi time park car outsid clean room help staff,0.3666666666666667,positive,9.0,Ukraine,Double Room,Family,2,2022
locat conveni near beach restaur public bu station meter hotel also close airport,0.05,positive,10.0,Lebanon,Double Room,Solo traveler,4,2022
la veranda hotel comfort clean staff nice breakfast delici great locat near mackenzi beach close center highli recommend,0.35333333333333333,positive,10.0,Lebanon,Double Room,Solo traveler,4,2022
second time la veranda honestli say one best hotel region best would definit recommend,0.6666666666666666,positive,10.0,France,Double Room,Solo traveler,4,2022
wonder experi la veranda hotel everi staff member encount valet check clean staff delight eager help thank recommend colleagu,0.3666666666666667,positive,10.0,Lebanon,Double Room,Solo traveler,4,2022
room clean comfort staff amaz went beyond help make stay enjoy highli recommend hotel anyon visit downtown,0.38333333333333336,positive,10.0,Lebanon,Double Room,Solo traveler,4,2022
friendli staff allow check earli hour morn min walk airport,0.0,positive,8.0,United Kingdom,Double Room with Balcony,Solo traveler,3,2022
staff alway help except,0.0,positive,9.0,Israel,Double Room,Solo traveler,3,2022
staff wonder friendli welcom food superb hotel clean easi airport,0.6833333333333333,positive,9.0,Austria,Double Room,Couple,3,2022
hotel residenti neighborhood apart modern bed linen wonder mattress neither hard soft breakfast includ hotel cost howev small restaur within hotel lobbi charg euro nice hot breakfast menu get whatev serv hotel approx minut drive airport minut drive histor area,0.10138888888888888,positive,8.0,United States of America,Double Room with Balcony,Couple,3,2022
smart modern room everyth need famili feel friendli famili suit big bonu lot space,0.13809523809523808,positive,8.0,United Kingdom,Two-Bedroom Suite,Family,2,2022
hotel great locat airport restaur owner staff welcom help take time print flight document book taxi even flight cancel abl keep room longer without problem,0.8,positive,10.0,United Kingdom,Double Room,Solo traveler,2,2022
nice hotel close beach situat quiet place help friendli staff tasti breakfast,0.3,positive,9.0,Poland,Double Room,Couple,2,2022
everyth clean modern staff friendli arriv late night problem also respons prearriv question,0.08888888888888889,positive,10.0,United Kingdom,Double Room,Solo traveler,2,2022
la veranda clean provid everyth need even bottl water room flexibl schedul staff excel seri delici fun restaur beach quit close hotel staff hotel kindli told u,0.33333333333333337,positive,8.0,France,Family Suite with Balcony,Family,2,2022
clean nice place,0.48333333333333334,positive,8.0,Bulgaria,Double Room,Solo traveler,2,2022
conveni locat arriv airport,0.0,positive,9.0,United Kingdom,Double Room with Balcony,Group,2,2022
clean nice bed linen good valu allow take dog reason book,0.5555555555555555,positive,8.0,Cyprus,Double Room with Balcony,Couple,1,2022
boutiqu hotel quiet area staff friendli help kilomet airport quit distant citi center hand close salt lake opportun watch flame good tasti breakfest,0.12499999999999999,positive,8.0,Poland,Double Room with Balcony,Group,12,2021
nice clean boutiqu hotel close airport makenzi beach area taxi fare airport around euro,0.48333333333333334,positive,10.0,United Kingdom,Double Room,Solo traveler,12,2021
staff happi go beyond help covid restrict airport close actual coupl issu would made hard travel staff breakfast good room locat excel valu money also upgrad room free charg suspect hotel quit empti love balconi view ocean,0.26166666666666666,positive,10.0,United Kingdom,Double Room,Solo traveler,12,2021
friendli staff clean cozi close airport,0.3666666666666667,positive,10.0,Ukraine,Standard Triple Room,Family,12,2021
breakfast good locat airport minut car,0.7,positive,8.0,Cyprus,Double Room with Balcony,Couple,12,2021
pleasant help friendli staff,0.7333333333333334,positive,10.0,Ireland,Double Room,Solo traveler,12,2021
clean basic,0.18333333333333335,positive,8.0,Netherlands,Double Room,Couple,11,2021
second time hotel everyth great new well furnish hotel comfort room locat good minut away centr locat quiet area room clean everi day staff polit help wifi strong time host kind smile peopl garnish restaur downstair warm cosi place tasti breakfast everi morn mr richard sendi awesom it’ pleasur start day smile short definit comeback la veranda hotel atmospher make feel like home worth everi euro spend,0.34895104895104895,positive,10.0,Russia,Double Room with Balcony,Solo traveler,12,2021
,0.0,positive,10.0,Cyprus,Double Room with Balcony,Solo traveler,12,2021
recent refurbish clean,0.18333333333333335,positive,10.0,United Kingdom,Double Room,Couple,12,2021
locat good take bu airport somewher close enough hotel stuff super nice room spaciou clean bed comfi,0.4,positive,10.0,United Kingdom,Double Room,Couple,11,2021
great experi stay la veranda hotel right start till end staff welcom friendli room pictur newli renov fulli function importantli comfort clean hotel locat conveni easi catch public transport mani café around close center,0.2704761904761905,positive,10.0,Lebanon,Double Room,Solo traveler,11,2021
stay hotel great experi would definit come back famili staff help friendli welcom one night stay felt like home great locat close airport minut walk bu station beach restaur room clean spaciou mini bar rich well price even breakfast present tasti highli recommend,0.3902777777777778,positive,10.0,Lebanon,Double Room with Balcony,Solo traveler,11,2021
christma vibe nice ambianc staff make feel home quiet area everyth perfect definit come back,0.4,positive,10.0,Lebanon,Double Room,Couple,11,2021
clean,0.3666666666666667,positive,9.0,United Kingdom,Two-Bedroom Suite,Family,11,2021
welcom coupl help happi help situat question manag remot work room balconi pleasant would definit come,0.7333333333333334,positive,10.0,Switzerland,Double Room with Balcony,Couple,11,2021
like hotel room bed sheet toilet super clean bed comfort top hotel less minut away foot bu station citi nice lot restaur bar shop area cours lot lot beach shore relax one get foot less minut staff nice gave recommend place visit roam around,0.25416666666666665,positive,10.0,Lebanon,Double Room,Solo traveler,11,2021
first staff accommod easi deal gone beyond help u delay flight land hour late arriv restaur close richard amaz whip u excel pizza even though long sinc close,-0.03333333333333333,positive,10.0,Canada,Double Room,Couple,10,2021
,0.0,positive,10.0,Israel,Two-Bedroom Suite,Family,11,2021
modern nice hotel accommod one night departur hotel arrang taxi airport €,0.4,positive,9.0,Czech Republic,Double Room with Balcony,Couple,10,2021
wonder peopl recept restaur alway smile glad help,0.4,positive,9.0,United Kingdom,Double Room with Balcony,Solo traveler,11,2021
managementhusband wifewer fantast staff,0.0,positive,9.0,Czech Republic,Double Room with Balcony,Solo traveler,10,2021
stay hotel one night prior departur cypru close proxim larnaca airport close mckenzi beach lot restaur dinner hotel allow u check later prior flight breakfast nice clean,0.19333333333333333,positive,10.0,Russia,Family Suite with Balcony,Family,10,2021
clean staff welcom help pet friendli hotel highli recommend extra charg dog quick respons ask bring nice freshli decor room,0.32499999999999996,positive,9.0,United Kingdom,Double Room with Balcony,Couple,10,2021
place clean there’ incred kind help staff food delici everyth clean airport close beach five minut walk away flexibl strang schedul,0.4444444444444445,positive,9.0,Spain,Double Room,Family,10,2021
super friendli staff nice renov clean hotel quiet street suffici park facil fantast valu money,0.325,positive,10.0,Belgium,Double Room with Balcony,Couple,10,2021
fresh renov good wifi minut airport super fast checkincheckout,0.3833333333333333,positive,10.0,Netherlands,Double Room with Balcony,Family,10,2021
it’ except clean staff friendli,0.3666666666666667,positive,10.0,United Kingdom,Double Room with Balcony,Couple,10,2021
perfect locat mckenzi beach minut walk central marina everyon accommod welcom nice addit clean tidi room netflix,0.4916666666666667,positive,10.0,United Kingdom,Double Room with Balcony,Solo traveler,10,2021
breakfast left earli,0.0,positive,9.0,Spain,Double Room with Balcony,Couple,10,2021
staff friendli extrem help love famili hotel refurbish main corona period quiet area minut larnaca airport minut walk beach restaur,0.2222222222222222,positive,9.0,Denmark,Family Suite with Balcony,Family,10,2021
stay one night arriv late night larnaca airport go anoth citi limassol next day receptionist wait arriv even though usual open hour room clean bit small though bathroom spaciou bed comfort,-0.07222222222222223,positive,9.0,Denmark,Double Room with Balcony,Solo traveler,10,2021
locat room,0.0,positive,9.0,United Kingdom,Double Room with Balcony,Solo traveler,9,2021
well organis clean,0.3666666666666667,positive,9.0,United Kingdom,Double Room with Balcony,Solo traveler,10,2021
excel everyth got earli around room readi place clean spaciou realli nice pleasant walk sea much els close,0.47500000000000003,positive,10.0,United States of America,Family Suite with Balcony,Group,10,2021
stay hotel twice locat airport found clean modern comfort great valu money minut walk makenzi beach restaur also nice patio restaur meal cocktail room bit small nice amen fridg coffe make ac nice balconi spotless comfort staff nice welcom,0.4395833333333334,positive,8.0,Jordan,Double Room with Balcony,Solo traveler,10,2021
room excel clean everyth seem fairli new staff help locat also good morn flight airport min drive away,0.40101010101010104,positive,8.0,Romania,Double Room with Balcony,Group,10,2021
nice small hotel far airport everyth good clean fresh room good host min walk beach,0.3595238095238095,positive,10.0,Ukraine,Two-Bedroom Suite,Group,10,2021
clean freshli renov room,0.3666666666666667,positive,9.0,Ukraine,Double Room with Balcony,Solo traveler,10,2021
hotel perfect u arriv late night intent get rest continu journey it’ locat ideal purpos stay it’ close larnaca airport host hotel kind help alway smile face great energi amaz hospit make sure great stay would rate sure,0.5666666666666667,positive,9.0,Sweden,Double Room,Couple,10,2021
everyth clean bed comfort spaciou bathroom beach close bu airport meter away,0.3666666666666667,positive,9.0,Hungary,Double Room with Balcony,Couple,10,2021
small quiet,-0.125,positive,9.0,Ukraine,Double Room with Balcony,Couple,10,2021
staff except realli customercentr kind breakfast realli delici,0.6,positive,10.0,Germany,Double Room with Balcony,Solo traveler,10,2021
clean fresh nice peac welcom,0.4222222222222222,positive,10.0,United Kingdom,Double Room with Balcony,Group,10,2021
staff super nice need taxi airport theyv help u book realli good price better everyth weve seen onlin room realli clean bed comfort,0.5,positive,9.0,United Kingdom,Double Room,Solo traveler,9,2021
breakfast except,0.0,positive,10.0,United States of America,Double Room,Couple,10,2021
absolut clean friendli staff ultim hygien clean econom staff owner friendli help locat great definit place come came larnaca,0.5111111111111112,positive,10.0,Qatar,Double Room with Balcony,Solo traveler,10,2021
modern clean friendli need great holiday,0.45555555555555555,positive,10.0,United Kingdom,Double Room with Balcony,Couple,9,2021
except friendli help tast decor room super comfi bed dinner breakfast freshli made tasti,0.3333333333333333,positive,10.0,United Kingdom,Double Room with Balcony,Couple,9,2021
excel hotel clean excel owner,0.3666666666666667,positive,9.0,Australia,Double Room,Solo traveler,9,2021
famili run hotel friendli welcom gave u free room upgrad build hotel brand new spotlessli clean walk distanc beach restaur shop away traffic fulli stock minibar coffe teamak facil valu money stay tip like sleep dark bring sleep mask andor blu tack secur curtain place,0.18825757575757576,positive,9.0,Cyprus,Double Room with Balcony,Couple,9,2021
it’ definit one best accommod i’v ever everyth good clean room clean everi day great staff pleasant host strong wifi time friendli comfort atmospher garnish restaur ground amaz owner kind person creativ chef i’ll miss breakfast word i’ll stay next time larnaca sure,0.55,positive,10.0,Russia,Double Room with Balcony,Solo traveler,9,2021
good valu money room nice big balconi,0.4333333333333333,positive,10.0,United Kingdom,Standard Triple Room,Solo traveler,7,2021
stay larnaca everi year first time la veranda i’d recommend owner absolut love made sure everyth need properti clean modern locat good,0.41944444444444445,positive,10.0,United Kingdom,Double Room,Couple,8,2021
extrem friendli peopl work la veranda help u possibl way thank,0.0,positive,10.0,Russia,Double Room with Balcony,Group,9,2021
great friendli staff welcom owner took person room gave prime park spot introduc u daughter learn trade super nice help couldnt pleas,0.5777777777777778,positive,9.0,United Kingdom,Standard Triple Room,Couple,9,2021
great locat min walk beach amen staff good help room comfort snd clean,0.6222222222222222,positive,9.0,United Kingdom,Double Room,Solo traveler,9,2021
modern clean,0.2833333333333333,positive,10.0,United Kingdom,Double Room with Balcony,Solo traveler,9,2021
clean good commun,0.5333333333333333,positive,10.0,United Kingdom,Double Room with Balcony,Couple,9,2021
pick hire care airport within minut arriv famili run hotel except staff friendli keen pleas room also except cleanli although compact everyth might need stay rare write review place deserv well also minut walk beach load restaur,0.3,positive,10.0,United Kingdom,Double Room,Couple,9,2021
staff owner welcom breakfast typic cypriot one much park around properti apart convert hotel insid excel compar view outsid,0.2,positive,8.0,United Kingdom,Double Room with Balcony,Solo traveler,9,2021
friendli help staff clean room comfort bed close bu stop,0.3666666666666667,positive,9.0,Poland,Double Room with Balcony,Couple,9,2021
min drive airport love clean room comfort bed easi park love help staff,0.45555555555555555,positive,9.0,Cyprus,Double Room with Balcony,Couple,9,2021
clean modern room comfi bed great air condit fab locat close mackenzi beach bar,0.45555555555555555,positive,10.0,United Kingdom,Double Room with Balcony,Family,9,2021
super clean good bed,0.4666666666666666,positive,10.0,Czech Republic,Double Room,Group,9,2021
clean comfi room balconi simpl clear contemporari decor near airport friendli staff healthi breakfast,0.18888888888888888,positive,9.0,Spain,Double Room with Balcony,Solo traveler,9,2021
nice staff clean homeexperi definit recommend,0.48333333333333334,positive,10.0,United Arab Emirates,Double Room with Balcony,Solo traveler,9,2021
we’v chosen la veranda earli flight larnaka airport enjoy one night stay beach strip nearbi variou restaur everi tast walk cocktail one place dinner anoth breakfast hotel great airport time,0.6000000000000001,positive,9.0,Russia,Double Room with Balcony,Family,9,2021
commun prior arriv brilliant staff hotel friendli polit noth much alway will help anyway made stay enjoy extrem clean,0.37333333333333335,positive,10.0,United Kingdom,Double Room with Balcony,Family,9,2021
staff friendli hotel comfort clean,0.3666666666666667,positive,9.0,Lebanon,Double Room with Balcony,Couple,9,2021
locat close airport,0.0,positive,8.0,Slovakia,Standard Triple Room,Group,8,2021
excel round would come,-0.2,positive,10.0,Australia,Double Room with Balcony,Solo traveler,8,2021
everyth,0.0,positive,10.0,Norway,Double Room with Balcony,Solo traveler,8,2021
locat near makanzi beach,0.1,positive,8.0,Angola,Double Room with Balcony,Couple,8,2021
excel servic kind help staff room balconi overlook makenzi salt lake made amaz impress recommend breakfast realli delici,0.6,positive,10.0,Poland,Double Room with Balcony,Couple,8,2021
staff except attent ensur stay pleasent hospit great highli recommend hotel,0.8,positive,10.0,Hungary,Double Room with Balcony,Couple,8,2021
enjoy excel overnight stay head airport load bar restaur min walk away beach realli friendli accomod host,0.4,positive,10.0,United Kingdom,Standard Triple Room,Family,8,2021
arriv night checkedin quickli slept well rest night next morn readi continu trip hotel renov conveni short stay larnaka actual piti abl stay longer next time,0.0,positive,9.0,Austria,Standard Triple Room,Family,7,2021
staff excel accommod nice clean room,0.48333333333333334,positive,10.0,United Kingdom,Double Room with Balcony,Couple,8,2021
friendli staff nice room comfort bed nice bathroom good choic travel larnaca,0.6333333333333333,positive,10.0,Spain,Two-Bedroom Suite,Family,8,2021
clean perfect locat,0.6833333333333333,positive,10.0,Germany,Standard Triple Room,Group,8,2021
locat staff food amaz restaur,0.0,positive,8.0,Saudi Arabia,Double Room with Balcony,Couple,8,2021
extrem clean newli renov effici run good locat airport sea,0.5333333333333333,positive,10.0,United Kingdom,Double Room with Balcony,Couple,8,2021
peopl work best ever,1.0,positive,10.0,Ukraine,Family Suite with Balcony,Group,8,2021
bright cozi look like almost new hotel silent part town help staff minut drive airport walk citi center meter nice beach,0.2672727272727273,positive,9.0,Lithuania,Double Room with Balcony,Solo traveler,8,2021
stay coupl night could quickli get airport cozi clean hotel wonder staff also enjoy delici breakfast desir nice place recommend,0.45555555555555555,positive,10.0,Russia,Double Room with Balcony,Couple,7,2021
locat great room great size clean modern comfi,0.5416666666666667,positive,10.0,United Kingdom,Double Room,Family,8,2021
richard chef hotel food creat outstand delici even simplest food ie chicken burger salad made tast except whether stay hotel go restaur lunch dinner disappoint want keep go back richard cook heart overal hotel well situat room stylish bed comfort staff help friendli first stay hotel would gladli stay highli recommend,0.037500000000000006,positive,8.0,United Kingdom,Double Room with Balcony,Solo traveler,8,2021
clean comfort easili star hotel welcom minut walk beach chef incred friendli kind person love noth enjoy food,0.4666666666666667,positive,10.0,United Kingdom,Double Room with Balcony,Family,8,2021
excel hote th time stay hotel want say better star hotelespeciallyth chef la vernada hotel perfesth made delici breakfastlunch dinner food better star hotelmoreoverth price hotel price food good expensiveabsolut fantast hotel excel chef make hotel perfect konstantino charalamb,0.675,positive,10.0,Cyprus,Double Room,Couple,8,2021
staff friendli room clean comfort food delici highli recommend,0.3666666666666667,positive,10.0,France,Double Room with Balcony,Solo traveler,8,2021
stay hotel night departur pleas staff got earli breakfast well nice even bar hotel administr help u taxi clean room comfort bed everyth giod,0.48333333333333334,positive,10.0,Russia,Family Suite with Balcony,Family,8,2021
nice help staff abl go extra mile satisfact hotel great locat close airport beach entertain room vere spaci quiet tidi modern design breakfast tasti satisfi servic sure come bact come larnaka,0.3499999999999999,positive,10.0,Czech Republic,Double Room with Balcony,Couple,7,2021
hotel exactli need great locationwalk distanc beach close airport interior clearli recent renov staff friendli,0.4,positive,10.0,United Kingdom,Double Room with Balcony,Couple,8,2021
room clean hotel facilit shuttl servic airport addit cost base request hotel also kindli receiv packag behalf prior arriv maha respons reachabl via whatsap abl accommod need stay hotel good layov larnaca close airport also allow access beach min walk distanc,0.06666666666666665,positive,8.0,Lebanon,Double Room with Balcony,Couple,8,2021
friendli help staffclean facilitiesgood breakfast,0.0,positive,10.0,Ukraine,Two-Bedroom Suite,Family,8,2021
amaz hotel new clean staff manag great…highli recommend,0.2515151515151515,positive,10.0,Saudi Arabia,Double Room with Balcony,Solo traveler,8,2021
excel servic,0.0,positive,10.0,United Kingdom,Double Room with Balcony,Solo traveler,8,2021
owner toni joanna friendli welcom accommod richard barrestaur come u base cruis ship forgotten convert charg phone toni multipl u borrow even luggag scale u prepar suitcas departur back home room complet renov stun brand new air condit system chill room within minut rent bedroom suit final place spotlessli clean,-0.0593939393939394,positive,10.0,United States of America,Two-Bedroom Suite,Family,8,2021
room staff,0.0,positive,10.0,United Kingdom,Family Suite with Balcony,Family,7,2021
friendli effect employe owner brand new fit furnitur excel locat near airport beach clean quit recommend without reserv,0.25075757575757573,positive,10.0,United Arab Emirates,Double Room with Balcony,Solo traveler,8,2021
great locat conveni airport beach profession friendli staff look afford clean hotel minut away airport within walk distanc beach restaur amen place,0.5833333333333334,positive,10.0,Lebanon,Double Room with Balcony,Family,7,2021
good servic,0.7,positive,9.0,United Arab Emirates,Family Suite with Balcony,Family,7,2021
recent renov build therefor room nice clean mackenzi beach promenad min walk,0.32222222222222224,positive,9.0,Cyprus,Double Room with Balcony,Family,7,2021
everyth perfect nice locat excel room friendli staff,0.8,positive,10.0,Cyprus,Standard Triple Room,Family,7,2021
clean modern good custom servic restaurantbar reason price qualiti,0.4222222222222222,positive,8.0,Malta,Double Room with Balcony,Family,7,2021
check quick easi polit friendli hotel manag great servic richard bar manag room clean good qualiti bed linen towel ac flat screen tv locat minut walk beach restaur supermarket airport min taxi larnaca centr min bu min walk highli recommend,0.43500000000000005,positive,10.0,United Kingdom,Double Room with Balcony,Group,7,2021
amaz place honest everyth perfect,0.8,positive,10.0,Germany,Double Room with Balcony,Solo traveler,7,2021
clean nice renov room staff fantast price great,0.5888888888888889,positive,8.0,Cyprus,Double Room with Balcony,Solo traveler,6,2021
everyth excel,0.0,positive,8.0,Malta,Double Room with Balcony,Family,7,2021
modern clean netflix room unexpect surpris bewar difficult sign back account view short walk nice beach bar rebuk v good close airport,0.19523809523809524,positive,8.0,Cyprus,Double Room with Balcony,Solo traveler,7,2021
amaz staff met owner recept took care girl happi stay room clean readi check,0.3666666666666667,positive,10.0,Saudi Arabia,Standard Triple Room,Solo traveler,7,2021
like lot hotel locat servic like — personnel especi chief real profession alway tri prepar u tradit vegan dish local cuisin alway delici friendli kindheart u recommend place interest rout etc thank cypru thank la veranda thank chief,0.1,positive,8.0,Ukraine,Standard Triple Room,Couple,7,2021
room fresh clean friendli staff highli recommend,0.33333333333333337,positive,9.0,Cyprus,Double Room with Balcony,Solo traveler,7,2021
amaz stay near mackenzi beach min walk staff superb clean spaciou room definit come back much recommend,0.33333333333333337,positive,10.0,Lebanon,Double Room with Balcony,Family,7,2021
good team good hospit good food smile will peopl,0.5999999999999999,positive,10.0,Czech Republic,Double Room with Balcony,Family,7,2021
good,0.7,positive,9.0,Malta,Double Room with Balcony,Group,7,2021
perfect play renov relax owner mumchildren lebanon kind readi help even invit sit relax drink night room brand new good bed furthermor speak richard chef hotel make feel like know year beforeh kind polit readi help whatev want eat drink delici food facil keep go guy sure favourit place holiday,0.5893939393939395,positive,10.0,Cyprus,Double Room with Balcony,Solo traveler,7,2021
new hotel everyth modern clean good bed linen furnitur minut walk makkenzi beach plane land staff polit friendli minut walk citi center minut bu drive,0.2606060606060606,positive,8.0,Israel,Double Room with Balcony,Solo traveler,7,2021
nice modern bedroom nice greek breakfast hotel great locat shame stay one night,0.44000000000000006,positive,8.0,United Kingdom,Double Room with Balcony,Solo traveler,7,2021
wonder place run wonder peopl,0.0,positive,10.0,Switzerland,Double Room with Balcony,Solo traveler,7,2021
hotel excel exceed expect restaur delici food servic incred room high standard clean pleas stay grate staff help kind profession highli recommend hotel,0.2816666666666667,positive,10.0,Bahrain,Double Room with Balcony,Solo traveler,7,2021
